id,trip_duration
id0439290,766
id0190905,730
id0388008,749
id2335320,740
id3622701,1245
id2856961,1047
id1788031,198
id3831391,2369
id0257060,1082
id3371277,315
id2070564,450
id0914428,891
id1052316,150
id3512447,418
id0767772,360
id1581467,1535
id1951713,1220
id2545859,310
id2830322,1600
id2443786,116
id2221710,981
id2175566,1607
id2940843,459
id3647573,520
id0435445,442
id1818906,776
id2497313,360
id3242848,511
id2943664,1161
id1143668,407
id2457719,1145
id1961335,846
id3939608,847
id1654399,3014
id0578895,537
id3002409,590
id2788165,1029
id1056801,612
id3332595,259
id0724050,1358
id1341602,1305
id0906972,2171
id2692734,409
id2286788,1354
id2917647,1192
id3706398,729
id3598219,3764
id1636307,224
id2659042,211
id2221639,366
id2559737,1380
id2353050,824
id2389035,246
id2380411,558
id2225007,505
id2790788,355
id1655845,100
id1573390,1143
id3851571,1802
id1976726,398
id2521047,591
id0622455,1215
id1049297,465
id3652386,1519
id1154650,820
id0147707,147
id2053944,300
id0477751,2301
id3026515,1304
id1690898,474
id0974298,659
id0240060,1544
id1086458,349
id2211386,1238
id3381987,575
id0222695,445
id1032832,896
id3065074,799
id2183752,2233
id3672823,1640
id3499099,169
id3379222,813
id3585131,1545
id1780350,638
id3447316,1082
id1521243,737
id0695374,2262
id2788147,711
id0723455,323
id2004915,426
id0191408,1078
id2730825,497
id0571630,685
id2185542,438
id3124527,1185
id3143565,420
id1910182,486
id2173971,156
id3869641,61
id1761801,549
id2194142,2372
id2309235,905
id0576691,539
id2677715,323
id1005969,889
id1974980,384
id0031474,275
id0428516,656
id1467842,628
id1766992,912
id3387161,468
id3784713,521
id0855496,1025
id3557569,496
id2497043,437
id2544145,397
id3783107,473
id0589519,1151
id2214633,982
id1457403,1094
id3645019,364
id1536399,2195
id2385425,700
id3050630,477
id0107995,1042
id1821043,723
id1057173,1614
id2734373,494
id2386301,541
id1726722,461
id0131991,667
id1903896,1015
id1862761,554
id1471071,1342
id2556190,1066
id1871815,311
id3698871,757
id2285045,726
id2092793,690
id0852144,1453
id2162003,1321
id2760674,677
id1397147,715
id2833281,996
id2184941,856
id3047613,221
id1301098,388
id1025022,514
id1303303,626
id1355632,829
id3216770,509
id0660549,351
id1520157,1546
id3590504,564
id3891808,1180
id3496160,958
id2961742,789
id1474118,715
id2205973,1113
id2099294,318
id2286292,331
id3425104,244
id3970853,197
id2987654,1670
id2159494,706
id2427948,346
id3927555,597
id3735354,997
id3631115,1173
id3092447,478
id3695857,442
id2988087,1099
id2704637,507
id1100048,1717
id1644054,1671
id1282548,705
id1314974,718
id2626175,434
id0562219,89
id0363359,943
id2496674,1051
id2136869,515
id1218523,612
id2724052,561
id1732953,85
id0665841,642
id3978066,3716
id0968609,753
id1895840,1321
id1961014,593
id3075276,383
id3681681,272
id1577968,376
id2989097,675
id1946306,705
id1603756,324
id2216397,943
id1411592,564
id2476025,462
id1831303,4205
id2504946,973
id3305690,348
id0878458,1084
id2946436,660
id1410620,1217
id0915278,150
id0018603,748
id3478541,1283
id1764852,165
id0799469,329
id2584406,462
id2522267,703
id0519673,1323
id0800862,3189
id1224162,1551
id3424253,1083
id1266931,874
id2754710,1061
id1951806,546
id2771971,369
id2280169,641
id0897778,1413
id3958023,7441
id1505422,1533
id0935075,307
id3358036,513
id1252992,535
id1464642,1414
id3063276,399
id3969615,108
id0084211,152
id2466210,1064
id0799015,917
id1031315,887
id3758612,1682
id3293567,1388
id2964173,1316
id1700987,394
id0570324,538
id3563572,248
id1270962,980
id0313545,2622
id3794767,661
id3103339,751
id2127908,1301
id2546268,304
id2949882,196
id3200876,1437
id2282342,810
id3029811,253
id0220094,113
id0818803,1010
id2227106,832
id3419162,329
id0444448,753
id3655697,393
id1682888,491
id1803635,1424
id2594083,1549
id1606884,1944
id1805410,532
id3059950,1248
id0901333,1537
id0264282,633
id2530037,234
id2743906,932
id0167954,1083
id3394359,492
id1037757,640
id2068396,816
id1875680,317
id3628723,273
id1256479,1268
id3766578,510
id3908603,1199
id0230877,2419
id1145060,4059
id0347003,1483
id1719208,548
id3847617,612
id2706567,684
id0436293,208
id1732739,1138
id1364601,1000
id0064440,1038
id1927087,1128
id3946036,629
id2127338,452
id2822040,563
id3253373,330
id0468022,50
id2410590,1244
id0620214,1445
id3447374,433
id3826144,856
id2590002,205
id2160287,934
id1929508,1741
id3971045,2238
id3828226,901
id0294998,179
id1428064,930
id0230119,522
id0188205,85
id3113350,817
id1809308,2536
id1562981,950
id3293083,1057
id1410374,1087
id0642656,493
id1069711,361
id0865781,1233
id0493396,1195
id3173668,242
id0169983,512
id3858703,698
id0097054,434
id2853833,516
id2090602,643
id1965859,700
id0677923,165
id0139781,1310
id3496848,780
id1992128,768
id2013182,594
id1090715,2000
id1681393,428
id1542633,555
id2938859,845
id0984429,567
id0841406,1444
id1932380,162
id0045548,44
id3258935,723
id0681790,545
id3725881,1259
id3053787,488
id1439968,1277
id3302212,1202
id2651720,357
id3284702,1615
id0153750,336
id2914271,956
id3786905,1679
id1683865,655
id2307366,1142
id2690181,888
id0072069,1027
id2829681,1505
id1009065,2759
id0468242,467
id2792612,842
id0466357,750
id0753894,1118
id3008400,291
id3111232,192
id1914336,837
id1077726,2251
id3750320,390
id2431655,517
id0887044,312
id3659314,450
id2075251,556
id0891688,678
id1182979,144
id2975753,307
id3242275,978
id0326621,273
id0269291,339
id1259965,492
id3583318,1416
id1273908,1074
id0812575,468
id3088821,95
id2464065,1066
id0725273,1594
id1306991,1377
id3449116,1442
id1442753,580
id0060358,612
id3027178,703
id2850994,649
id2569606,887
id2755693,388
id2385373,680
id3349286,1182
id1033730,1302
id0504673,785
id0531149,844
id3315614,494
id0019294,234
id2927511,472
id0441477,685
id3412585,775
id2430945,638
id0381191,954
id3096314,109
id3236399,259
id3333074,949
id0781120,1397
id3441098,2932
id3467321,2577
id0201106,448
id2411310,3434
id2210793,213
id0375298,949
id1320251,432
id2078147,2647
id2984513,793
id0243028,507
id3924891,317
id2116500,335
id3440641,1872
id2022149,608
id0993584,331
id0057138,602
id2827666,794
id3122233,720
id2068706,127
id2510545,452
id0401509,455
id3606811,492
id1738932,651
id0645671,1061
id1035010,2087
id0617904,519
id1026501,780
id1412179,301
id1522714,535
id1894791,198
id3217398,385
id3994709,1060
id1533324,419
id1084398,14
id3996610,763
id2090226,637
id2700336,1091
id3925560,1511
id3502475,802
id0824992,285
id3871335,337
id1258883,531
id0185517,764
id0016783,800
id1312416,381
id0891347,832
id1522319,266
id0451494,475
id1202780,2918
id3837486,840
id2139153,306
id1000491,2801
id3381628,1526
id2131375,49
id0527087,141
id0255811,676
id3336311,800
id3841581,293
id0869701,268
id1019432,100
id3555684,726
id1933151,663
id3999552,555
id1326928,566
id1388486,377
id1397545,701
id1375495,725
id3582597,1243
id2359162,1096
id1574361,214
id3297883,1115
id2726112,734
id1571164,506
id0917455,314
id2449449,449
id1647789,150
id3904426,1230
id1870556,735
id3530053,983
id0436603,777
id3867957,935
id3444220,186
id0974006,58
id0418985,368
id0012063,317
id1219439,1353
id0414755,452
id2612151,675
id2608198,812
id0475976,1006
id3865577,663
id2120844,132
id0920220,469
id0224076,2728
id2899942,334
id1825558,712
id0981847,520
id2767379,389
id3728300,776
id1053094,1165
id3308010,351
id2260548,356
id3578700,569
id3923121,263
id1657789,552
id3538660,508
id3255620,301
id0278816,572
id1424282,447
id0499956,778
id1894665,113
id2047522,328
id3801894,2414
id3934808,649
id1177367,678
id3239783,705
id3668126,1129
id3295999,568
id3881404,595
id3004000,1168
id0108114,1004
id1723773,929
id0020329,467
id2369240,410
id2737962,327
id1163065,436
id2475133,741
id1779772,2478
id3428888,1631
id0140811,286
id1037672,1062
id1034865,696
id2150463,1149
id0505774,546
id0873047,320
id2715567,773
id3956209,1100
id3104020,594
id1202494,904
id1368251,1050
id3603374,22
id2106753,645
id2002869,2586
id2616237,1501
id1550865,680
id1509507,310
id1735313,95
id0644110,2238
id0977530,1310
id0168375,589
id0710781,1786
id2944211,406
id2852186,406
id1749083,664
id2570038,230
id3612726,451
id1230621,347
id0402556,528
id1991001,1147
id1997352,430
id1851142,645
id2431959,1126
id1691084,751
id1221431,1234
id0163582,1699
id3604889,660
id2201768,730
id0751000,733
id3148012,694
id0915012,810
id2687615,157
id0765677,277
id1198387,221
id3232551,696
id0238705,276
id2343869,841
id0844134,205
id2997538,331
id0009134,121
id0165424,935
id0810130,337
id3059026,1974
id2343071,159
id1802441,279
id2466313,756
id1108286,1387
id1774951,959
id2883507,291
id3831451,409
id2580622,2592
id2548830,11
id2242010,314
id1775771,555
id3872744,288
id2803638,3579
id0382578,18
id1455973,721
id2037727,264
id1510506,1160
id1605355,924
id2072824,699
id3687296,311
id0710256,394
id1290286,988
id2900082,1040
id2904167,193
id3788770,608
id1421965,804
id0655586,203
id2062370,1143
id0405371,613
id3831192,333
id2438029,411
id3912607,494
id0181156,114
id0414308,1057
id3184881,857
id0633245,1337
id3752101,850
id1239343,781
id3651765,784
id0614161,1565
id3873550,2209
id2127144,166
id0771469,1892
id1913442,1767
id0153521,903
id1909233,961
id2522223,158
id0226519,741
id2129647,1043
id1844244,998
id0970817,849
id1043086,34
id1778756,3354
id0062995,962
id0522549,1194
id2874872,2125
id3525832,229
id1843007,315
id2013259,926
id2415270,412
id2464997,530
id3336107,447
id0788733,495
id3658409,1349
id3984867,265
id2298989,378
id3883084,1300
id1466544,552
id2913296,1798
id0548931,948
id3573313,122
id0864671,1611
id0495762,324
id0324385,1382
id3039561,339
id1048015,381
id3530433,2070
id0011305,1246
id2992664,379
id2451546,1180
id2939115,688
id1890519,391
id3249596,977
id3575061,527
id2894579,1169
id3634178,748
id3780746,637
id0253473,674
id3844200,437
id0880725,445
id2669313,3248
id1652252,312
id1107658,1260
id0319082,1081
id1355619,648
id0875900,416
id1266187,384
id3226540,636
id3974926,1385
id0327303,506
id3948956,535
id1612957,680
id2724405,398
id3245890,421
id3392541,614
id1413061,754
id2952970,866
id1697364,501
id2244199,831
id2899399,670
id3022625,416
id0399103,818
id0803954,135
id0413626,598
id2652821,491
id1457342,798
id0229203,784
id2531459,958
id2491626,1754
id3856725,320
id0567664,502
id2362583,1935
id2037605,1095
id2939435,573
id3218219,1729
id3524422,226
id1203687,1026
id3060084,219
id1136723,313
id2402769,1421
id3155598,522
id1545206,917
id0373819,995
id3751946,136
id2625691,1124
id2779763,609
id3254819,352
id0032181,484
id1180355,1575
id2946191,1026
id3948157,366
id0008793,436
id3819580,410
id0876227,311
id3018202,913
id2501138,1776
id3311039,802
id3788081,371
id2497839,1156
id0644978,228
id2866984,131
id0068596,2035
id3351254,147
id0601350,454
id3577861,583
id1370329,378
id0028389,1912
id2795817,1017
id3919550,339
id3835908,398
id1524357,1640
id3199659,1750
id2196236,938
id2329576,823
id1802248,677
id2049301,810
id2854673,870
id2517283,213
id2242627,1700
id1278032,891
id1847542,528
id1137845,1103
id2888486,1180
id3883489,812
id3470590,441
id0821284,1493
id1907046,349
id3763943,911
id1635796,1770
id1558759,294
id3887192,903
id0799839,545
id3358837,648
id2607050,618
id2402512,835
id3398641,47
id3100089,780
id1643561,319
id1157747,1149
id1446881,428
id0515321,273
id2049835,732
id1166178,1660
id2653195,220
id1101256,774
id2991959,2099
id1132419,458
id3425282,284
id1314313,434
id2829228,751
id2663184,277
id0918291,711
id1967452,1252
id0317813,741
id1187800,1029
id1979534,1349
id0606382,533
id1448683,304
id2889213,610
id2108626,1158
id3386669,194
id3383969,1212
id3803890,446
id0184868,1216
id3561217,337
id0748067,753
id2180885,828
id0426909,1360
id2559957,1209
id1377393,2420
id1392596,1219
id3883611,377
id3826021,121
id2456804,701
id3754225,270
id2654999,680
id1515120,1812
id0547597,3657
id3512696,228
id0074655,627
id2972841,273
id2363593,1165
id1743960,413
id1055294,284
id0121025,464
id2723017,399
id0984760,3797
id0397114,1150
id2508181,194
id0173850,1615
id0281391,307
id2587436,952
id3613338,1824
id0647715,370
id0977368,1219
id3005065,599
id2162185,183
id2687625,1629
id1764856,249
id3228688,1731
id1134239,690
id3831322,722
id0249817,867
id2055055,1307
id3004604,1575
id2490186,1272
id0121856,1484
id0871554,1198
id0646006,1317
id2306462,650
id3522670,388
id0913889,1147
id0580677,473
id1943028,4016
id2569030,1404
id2958621,1436
id3858980,1119
id1926896,1328
id3100997,253
id0005817,2785
id0560912,462
id1408824,1763
id1588772,1248
id2079320,1858
id0437990,1023
id0429866,318
id0540938,803
id0602658,460
id3823597,760
id3004119,500
id2733068,775
id0681086,1018
id3687538,420
id3377703,292
id2111073,1159
id3372804,410
id2152255,808
id2814817,487
id2909590,634
id2941021,1255
id0484821,1285
id1136798,419
id2616687,464
id3960605,426
id3917772,1148
id2488613,446
id1008648,1089
id3249872,400
id2857517,779
id0071788,216
id0875180,957
id0255682,3617
id0198015,304
id0674575,775
id1514085,260
id0571100,1401
id3582482,1524
id2541661,332
id3120453,231
id0864195,956
id3216116,570
id2840252,472
id3105707,368
id1580331,195
id2212266,1317
id2802790,222
id3091439,237
id1485160,220
id0096135,390
id2274926,219
id3570133,790
id0847304,120
id0722531,433
id1542809,1423
id3875663,2161
id3864799,618
id3841761,354
id1884062,425
id2146330,124
id1504924,282
id1345384,192
id2830901,579
id3233164,1520
id2017520,359
id3849208,779
id1210712,1065
id2566735,567
id1785530,1413
id2717542,839
id3649731,1048
id3399163,646
id0654867,1824
id0539737,3376
id2028099,885
id1801589,1080
id0777818,807
id3889885,941
id1553073,433
id2823587,854
id2083367,2077
id2533338,1077
id1798084,248
id3592280,802
id0298876,91
id2571067,526
id2646382,914
id1799139,186
id2674549,416
id1073696,496
id3121883,210
id1280772,922
id3174662,2008
id3332094,491
id3618053,742
id0924438,199
id0511874,473
id0333299,1510
id1285770,672
id2256075,377
id0351764,2036
id2997744,235
id1527754,424
id0602335,782
id2502413,1250
id3161649,1471
id1354248,563
id1116086,686
id3542448,1715
id0327743,261
id1743308,1416
id1482973,375
id3980914,411
id2539403,818
id1036461,1037
id3270395,575
id0965970,647
id0397791,1242
id2201737,474
id0102988,1308
id2232878,1767
id3667352,679
id2512280,1015
id0162243,965
id0604461,1615
id0542709,1585
id1045598,551
id2668729,483
id3309314,517
id3132033,665
id3560348,1166
id1197167,649
id0015848,841
id3750811,1187
id1539557,476
id3958840,262
id2172560,707
id3790271,265
id0131824,1380
id0180589,529
id3255461,1888
id3550096,378
id3149537,783
id0079231,686
id2285771,352
id2568629,413
id3866565,802
id2802321,295
id0282962,4641
id0309160,984
id0659767,1628
id2192411,439
id3871500,917
id1993203,201
id2597608,440
id3613166,37
id1715875,538
id3463566,2139
id2102071,1171
id0558510,319
id1728325,379
id2169853,1128
id3725421,239
id2688654,552
id0614808,592
id2275935,726
id0467359,224
id2074091,979
id0458984,1356
id2041732,339
id0352881,545
id2046664,1361
id2954510,493
id1277543,302
id1585149,453
id1486862,1120
id3633684,713
id3431819,935
id1307424,1126
id3925573,867
id2740596,521
id1942919,1517
id3351050,256
id0179856,3146
id0048651,358
id3544747,811
id1214808,457
id2715880,949
id3472348,389
id0495744,2443
id1896174,365
id0286275,260
id2350859,385
id0177018,158
id2810336,375
id3042981,1460
id0597456,1996
id0083082,2279
id2292403,1107
id3110752,577
id3805185,2469
id1054869,338
id3815150,740
id2734787,1432
id1793422,786
id3609295,4630
id2904668,615
id0038372,1413
id3497398,262
id0656488,380
id2849698,2413
id2467429,539
id2737171,390
id2608891,1342
id1708854,537
id2751381,324
id0833908,1215
id2082321,171
id1957866,222
id2333078,1666
id3197147,3217
id1462272,565
id2683667,789
id1846129,1587
id1497455,213
id1318809,645
id0609142,562
id2250608,2132
id2004006,3117
id3872359,215
id0274556,1251
id3653123,3822
id0271007,131
id2195297,1034
id3172603,697
id1124768,437
id2546468,720
id1471363,940
id3099904,816
id2254393,244
id1540366,808
id2578851,1212
id2458928,518
id1489329,157
id3211267,331
id1678194,222
id0966652,561
id3306848,530
id3842847,1850
id0668414,1433
id2867712,426
id2462069,679
id1439907,707
id1533728,284
id3680772,386
id2626633,258
id1404794,700
id0331332,147
id0643970,837
id3184353,390
id2075905,574
id1707191,774
id3341360,821
id1075800,522
id0915734,1096
id3185533,208
id3170512,459
id1362268,2105
id3138953,123
id2600778,504
id2384222,1420
id0391288,177
id2629605,501
id0034002,659
id1989260,1644
id3438858,3578
id0153894,1982
id0699701,757
id2265641,2515
id3330669,1521
id2211008,308
id2170543,576
id3017307,792
id2793049,672
id0268698,1300
id0998964,183
id2488851,475
id1844483,716
id2838972,841
id3003796,767
id2814546,775
id1124594,861
id1711646,453
id3480803,809
id3453256,329
id0670054,683
id2839013,839
id2372270,584
id2612099,680
id3507012,449
id2016994,503
id1624703,894
id2876806,664
id2019486,425
id3464736,971
id3633960,605
id2767374,243
id3137150,522
id1333510,293
id0579172,386
id2388294,256
id2039015,627
id2788067,651
id2848028,510
id0772326,740
id2490017,572
id1901311,2008
id3218858,330
id2724142,2786
id3231544,623
id3587665,265
id3311926,475
id3264173,1134
id2900794,586
id3691622,130
id1619302,551
id0210510,141
id0088198,886
id3206949,317
id2493995,935
id0458700,2095
id1689817,640
id0015361,319
id2891356,985
id0520675,193
id0256594,130
id0716294,475
id0054587,268
id2581903,1458
id3349920,690
id1856826,1396
id3228342,236
id1111601,417
id0722165,338
id0428982,587
id3907768,714
id2183781,1025
id2233383,1373
id0282265,2103
id1919485,897
id2540910,844
id0662117,249
id2508099,1222
id3629387,764
id0705138,1008
id1289007,296
id1588776,450
id2226154,1348
id3564393,484
id2658958,2970
id1066750,326
id3798061,1364
id3573479,584
id3044569,1032
id1675819,327
id2879782,776
id1973184,706
id2642138,1055
id2287456,278
id1389129,1027
id3205292,426
id3827045,533
id2783402,56
id0265290,911
id2657441,407
id0181378,831
id0181821,321
id0842874,207
id3202638,1465
id1048174,120
id0513941,300
id3704989,2240
id1760880,543
id0296314,202
id3568555,1843
id2025604,271
id1326011,644
id1625632,1183
id0377279,998
id0616944,1246
id0391382,1391
id3081910,434
id0912243,976
id1943241,573
id1298903,1013
id0948988,280
id0270911,443
id0660161,335
id1987103,893
id2947813,932
id3933331,664
id1483977,1444
id0874613,676
id3938820,377
id0930337,711
id0816064,1869
id2277407,806
id3776301,1141
id0362497,238
id1406708,321
id3894999,1036
id0926615,641
id0974755,142
id1386700,4135
id2092026,412
id0707804,693
id0116004,134
id2615180,481
id0332065,459
id3051296,454
id3591526,645
id2778263,1925
id1816663,329
id3898733,670
id3361602,440
id0085290,593
id2257744,480
id3545526,911
id3259237,1323
id0488207,1117
id0790811,431
id1429525,4694
id2485613,2093
id2969622,1015
id1638422,246
id3457859,1552
id0398506,1040
id0936071,393
id2790462,264
id3361543,436
id2594941,2529
id3144556,866
id2606131,200
id0339344,1177
id2720246,668
id3120984,3841
id3474916,469
id1540683,968
id2319994,400
id0277892,1292
id2865045,637
id3800591,1965
id1842505,656
id2336453,1156
id3909474,827
id0997852,479
id2113610,1065
id3940499,781
id2388284,476
id1132792,189
id0325835,245
id2799754,534
id1590957,531
id3708551,1830
id3872087,380
id3230585,2221
id1188961,1886
id1363747,1207
id0413836,1108
id2286546,886
id1555174,507
id3964165,86071
id0369016,1201
id3530814,739
id2731208,511
id2727876,295
id3980694,1303
id3596687,390
id0150642,436
id0915992,913
id1348267,481
id0215157,243
id2809514,85314
id1254318,160
id0568149,848
id3725972,561
id0676824,470
id2483267,388
id2844203,1726
id1352943,1165
id1240788,1412
id3645526,249
id0878142,1295
id0010617,479
id3051453,361
id2415172,1414
id1897220,188
id0770994,1300
id1411652,2075
id2236676,386
id2503588,207
id0920029,472
id3876431,1258
id2912754,477
id3549919,1150
id1073638,1561
id1659478,522
id3449096,1032
id3300869,2215
id0791703,202
id3446538,1074
id3414771,1581
id2524235,426
id3349846,380
id0700097,2665
id0689348,335
id0729628,275
id1977411,739
id2956170,3185
id2831770,775
id2287891,212
id1250457,541
id0678748,1689
id1360397,246
id0328731,1193
id2115939,1017
id1244690,1346
id1323886,1687
id0965508,1547
id1303040,1025
id3554186,1046
id2380052,1269
id2650074,191
id1336225,590
id0819834,1046
id2097573,1061
id3165236,724
id2653416,1897
id1040721,2791
id3637657,1782
id0087289,3306
id1891769,680
id2132568,447
id1352904,862
id1729515,479
id0650771,1236
id3400550,879
id2754077,1151
id0859968,861
id3880863,649
id1250391,624
id1046126,1502
id3917843,863
id3295313,1005
id0030596,737
id0144392,432
id2565593,1314
id0225741,1295
id1693655,348
id0748995,273
id2313758,2599
id3489738,1514
id0996783,128
id0836796,384
id0854083,500
id2960498,272
id3393474,1152
id0173543,1894
id3527263,1680
id1025905,1075
id0598116,250
id2478319,1116
id1700435,1155
id1038952,781
id3734599,154
id3390406,1153
id1524802,717
id3439757,1067
id0302533,144
id1155801,1285
id0077237,441
id2467348,739
id2558044,222
id3296851,85783
id1251961,1367
id2925619,712
id2929340,251
id3531186,343
id0100203,402
id0926139,634
id1795333,725
id2841659,161
id2134165,945
id3457299,231
id2672490,114
id0013281,409
id1225721,719
id3382433,2050
id3334131,1520
id1240649,1980
id2980100,421
id3994358,1515
id1736863,1067
id1357937,276
id1940044,1266
id1061973,364
id0852591,345
id1822822,618
id1015019,390
id1904498,1707
id3800804,1135
id0285704,1100
id1480906,503
id1903860,417
id3673602,565
id2340065,563
id3646616,1583
id0546903,419
id0212670,355
id2567330,413
id0134748,1254
id3864049,547
id2439107,343
id3642481,252
id2730558,821
id0051789,954
id0799709,367
id1375328,169
id1295550,628
id0401206,1800
id1580543,777
id3816669,3272
id3315084,602
id2983329,1532
id1467689,1243
id0605000,3640
id0812675,341
id2677474,791
id3530017,527
id2026647,61
id2862479,1395
id2671101,723
id0430585,635
id2360549,450
id0967012,233
id0036806,520
id3556407,2095
id2806225,1608
id3172084,1187
id1449521,448
id2555876,202
id0501660,1321
id2240986,1558
id3939376,1747
id0185486,689
id3429668,1858
id1739310,903
id3700040,500
id2571271,717
id2445442,313
id1830467,663
id0075116,232
id3301218,271
id1148231,927
id1076868,22
id2371053,360
id2031576,1362
id1300362,552
id0095226,1252
id0102511,876
id2862519,563
id1371922,83
id2045089,460
id2623915,717
id0549704,62
id0746370,1145
id3561583,427
id3852570,1113
id1177208,272
id0731020,2351
id2103126,1523
id1479431,334
id3516832,2109
id3589111,1848
id0444592,1331
id0264405,242
id3613561,284
id1667507,408
id2252169,3317
id3044426,260
id3544943,1418
id3312838,751
id1250322,1091
id3154309,611
id3199532,1045
id2277801,206
id0010515,201
id0334644,1403
id0374913,579
id3977301,1155
id1781894,400
id1546461,204
id1189185,273
id2485599,339
id0582648,859
id0165800,795
id1163931,27
id1842371,651
id2576580,449
id2619983,305
id0095225,576
id0310673,364
id2030098,3600
id1352167,189
id1116964,494
id3304197,1591
id1562248,1045
id2234844,349
id0875377,537
id0832830,1570
id1205529,929
id2699018,1195
id2048652,973
id2442240,317
id3418106,511
id3248704,504
id0347814,953
id1495792,246
id0637530,1196
id1427910,1296
id1287599,532
id0225675,1569
id3290160,1382
id1281944,317
id0506091,212
id3471599,1037
id3654905,1617
id1712322,1173
id0997097,1376
id1005529,3596
id1173234,839
id3680784,771
id1449016,710
id0722404,754
id2061345,1054
id2551224,783
id3188637,1173
id1439969,576
id3675346,843
id0409763,1222
id1992811,247
id2717278,806
id0296811,947
id2390087,295
id0103906,260
id2021311,887
id2938074,257
id2106742,256
id0680610,347
id3191830,1491
id1230266,1169
id0353663,1315
id0367795,308
id1626692,985
id3930326,1008
id1858764,392
id2510683,206
id3854502,295
id3006767,219
id3647869,1375
id2502630,603
id1421619,1340
id0576488,358
id3206627,938
id0433899,1304
id2278583,1341
id0289446,554
id0485957,519
id2676884,1563
id2931708,839
id0819627,797
id1576259,1275
id1985191,2137
id3958989,627
id1383007,974
id0606086,811
id2817073,1237
id2140860,558
id0552455,1304
id3372249,1870
id0988767,848
id1896374,502
id0863681,341
id2324201,1268
id2674808,585
id0785689,544
id2897465,716
id3228355,358
id1178357,395
id3336048,562
id1914711,1145
id2710691,850
id2043845,117
id2176546,1389
id2853983,289
id3252866,533
id2850397,529
id0592784,684
